epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,47.6434,0.8795,1.49818,1.31999,0.32243,0.35122,0.26691,0.08306,2.07114,2.75996,3.7646,0.000659933,0.000659933,0.000659933
2,85.4771,0.81933,1.05788,1.25888,0.25439,0.33171,0.21563,0.07359,2.46362,2.54147,3.2532,0.00130033,0.00130033,0.00130033
3,130.347,0.81419,0.99565,1.25067,0.67019,0.6,0.61863,0.31637,1.49642,1.94391,2.39561,0.00191433,0.00191433,0.00191433
4,172.769,0.8059,0.93819,1.24796,0.25923,0.43902,0.24037,0.09718,1.90019,2.30459,2.57962,0.0018812,0.0018812,0.0018812
5,220.413,0.7527,0.85587,1.2126,0.50393,0.60976,0.47374,0.20883,1.67898,1.69587,2.54765,0.0018416,0.0018416,0.0018416
6,270.187,0.70784,0.81749,1.18073,0.65469,0.5561,0.60081,0.29457,1.58906,1.7382,2.23236,0.001802,0.001802,0.001802
7,322.521,0.67275,0.75169,1.16387,0.81363,0.63415,0.73647,0.36925,1.59408,1.4971,2.24201,0.0017624,0.0017624,0.0017624
8,377.937,0.66022,0.7388,1.14923,0.73015,0.69756,0.73934,0.35317,1.65804,1.41598,2.3286,0.0017228,0.0017228,0.0017228
9,435.887,0.65193,0.70414,1.13202,0.79438,0.74634,0.80028,0.46543,1.29591,1.19855,1.92319,0.0016832,0.0016832,0.0016832
10,498.199,0.64073,0.69618,1.13602,0.73885,0.71764,0.76756,0.45129,1.34784,1.22091,1.9579,0.0016436,0.0016436,0.0016436
11,556.413,0.62577,0.66532,1.12062,0.82755,0.65544,0.78258,0.4104,1.47512,1.26807,2.19776,0.001604,0.001604,0.001604
12,618.163,0.61267,0.64481,1.11421,0.91862,0.73171,0.8446,0.48382,1.29966,0.90759,1.93048,0.0015644,0.0015644,0.0015644
13,679.083,0.59181,0.62603,1.11654,0.92638,0.73663,0.85673,0.53392,1.2203,0.85517,1.87286,0.0015248,0.0015248,0.0015248
14,742.574,0.57676,0.61587,1.10322,0.82107,0.73868,0.81168,0.48224,1.24835,1.02232,1.88975,0.0014852,0.0014852,0.0014852
15,816.109,0.56503,0.60606,1.09267,0.65161,0.6,0.658,0.34331,1.49473,1.43824,2.08136,0.0014456,0.0014456,0.0014456
16,880.292,0.57394,0.60123,1.09356,0.91484,0.78608,0.85369,0.55514,1.1463,0.80751,1.74624,0.001406,0.001406,0.001406
17,1046.27,0.54765,0.57277,1.0754,0.88715,0.72858,0.82385,0.52847,1.16033,0.97697,1.73677,0.0013664,0.0013664,0.0013664
18,1106.23,0.54432,0.56205,1.07171,0.84577,0.82925,0.87129,0.59812,1.04419,0.77846,1.60704,0.0013268,0.0013268,0.0013268
19,1168.8,0.5611,0.56672,1.08234,0.90005,0.79067,0.87741,0.54204,1.20052,0.81876,1.80773,0.0012872,0.0012872,0.0012872
20,1221.57,0.5378,0.56058,1.06736,0.83393,0.71035,0.80436,0.48483,1.28031,0.99341,1.88797,0.0012476,0.0012476,0.0012476
21,1272.26,0.52996,0.54304,1.06723,0.76382,0.77073,0.78715,0.44101,1.27776,1.11361,1.92773,0.001208,0.001208,0.001208
22,1316.87,0.5161,0.53067,1.05919,0.91173,0.75574,0.8708,0.58458,1.0599,0.78202,1.68883,0.0011684,0.0011684,0.0011684
23,1367.97,0.51111,0.51753,1.05038,0.85535,0.75122,0.86376,0.57794,1.0691,0.77015,1.68775,0.0011288,0.0011288,0.0011288
24,1417.92,0.51923,0.51592,1.05223,0.90999,0.78906,0.88387,0.65224,0.92222,0.67486,1.46452,0.0010892,0.0010892,0.0010892
25,1473.43,0.50078,0.49819,1.04451,0.91807,0.79024,0.8982,0.61217,1.04429,0.74902,1.63363,0.0010496,0.0010496,0.0010496
26,1508.67,0.4873,0.47954,1.03654,0.92816,0.81951,0.89084,0.61088,0.99423,0.69751,1.57315,0.00101,0.00101,0.00101
27,1549.13,0.4895,0.489,1.04054,0.87759,0.76937,0.87704,0.58271,1.10174,0.87411,1.7604,0.0009704,0.0009704,0.0009704
28,1590.15,0.47892,0.47286,1.02535,0.91958,0.78096,0.89415,0.63245,0.99767,0.70484,1.58185,0.0009308,0.0009308,0.0009308
29,1625.69,0.48392,0.46761,1.03532,0.94985,0.75122,0.86465,0.58848,1.04471,0.75137,1.62184,0.0008912,0.0008912,0.0008912
30,1658.65,0.47325,0.45919,1.02514,0.91478,0.82927,0.91289,0.64531,0.92072,0.67551,1.5205,0.0008516,0.0008516,0.0008516
31,1693.44,0.46728,0.44915,1.02355,0.88087,0.75745,0.86982,0.62942,0.91619,0.72296,1.51741,0.000812,0.000812,0.000812
32,1725.59,0.4667,0.44577,1.0235,0.8819,0.88293,0.91912,0.66016,0.93138,0.61007,1.51732,0.0007724,0.0007724,0.0007724
33,1759.71,0.45323,0.44166,1.01614,0.84533,0.79979,0.8799,0.60631,1.06387,0.76871,1.62146,0.0007328,0.0007328,0.0007328
34,1861.93,0.44465,0.42518,1.01038,0.90271,0.76946,0.88262,0.62656,0.90194,0.69992,1.46864,0.0006932,0.0006932,0.0006932
35,1902.86,0.45842,0.43965,1.02066,0.90988,0.78799,0.90214,0.65637,0.89109,0.61774,1.46817,0.0006536,0.0006536,0.0006536
36,1949.62,0.43825,0.42084,1.00968,0.93163,0.79024,0.90494,0.65318,0.94841,0.59624,1.52556,0.000614,0.000614,0.000614
37,1994.09,0.43886,0.4145,1.00515,0.87297,0.83902,0.89794,0.65528,0.91125,0.63256,1.50603,0.0005744,0.0005744,0.0005744
38,2029.65,0.4254,0.40549,1.00321,0.93485,0.84002,0.92083,0.68407,0.87064,0.55899,1.42136,0.0005348,0.0005348,0.0005348
39,2067.34,0.43233,0.40526,1.00048,0.9189,0.82906,0.90915,0.66932,0.89198,0.58256,1.46408,0.0004952,0.0004952,0.0004952
40,2098.46,0.4127,0.39792,0.99041,0.91201,0.81951,0.91088,0.67848,0.86896,0.59869,1.41333,0.0004556,0.0004556,0.0004556
41,2174.4,0.40687,0.35451,0.99804,0.95244,0.78537,0.9105,0.66963,0.88928,0.62607,1.46996,0.000416,0.000416,0.000416
42,2201.58,0.39563,0.33004,0.98288,0.93392,0.80976,0.9137,0.64801,0.92832,0.64623,1.49458,0.0003764,0.0003764,0.0003764
43,2229.59,0.38994,0.31321,0.97884,0.9236,0.82563,0.92026,0.69205,0.86574,0.59715,1.44721,0.0003368,0.0003368,0.0003368
44,2257.44,0.37786,0.30455,0.9726,0.93339,0.82927,0.91616,0.7063,0.7935,0.52492,1.36286,0.0002972,0.0002972,0.0002972
45,2286.66,0.37715,0.2998,0.96214,0.89723,0.80919,0.9132,0.67146,0.87407,0.5962,1.43002,0.0002576,0.0002576,0.0002576
46,2315.23,0.36559,0.29158,0.96001,0.95055,0.82439,0.92061,0.702,0.81524,0.52629,1.36855,0.000218,0.000218,0.000218
47,2344.45,0.35575,0.28533,0.95992,0.88995,0.86781,0.92118,0.70186,0.81113,0.5601,1.3676,0.0001784,0.0001784,0.0001784
48,2373.79,0.35108,0.27354,0.95406,0.88102,0.86694,0.91899,0.70859,0.78214,0.53203,1.32091,0.0001388,0.0001388,0.0001388
49,2403.16,0.35004,0.27343,0.9598,0.9651,0.80976,0.93172,0.72819,0.78804,0.51782,1.31828,9.92e-05,9.92e-05,9.92e-05
50,2432.05,0.34002,0.26764,0.95069,0.954,0.81951,0.92992,0.71427,0.80429,0.53798,1.33809,5.96e-05,5.96e-05,5.96e-05
